brand,catNo,spec,rawName,quantity,limitPrice,recommendedSite,recommendedPrice,url
,,,冻存管（2ml）,,,beyotime,56,https://m.beyotime.com/mobilegoods.do?method=code&code=FCV021-1bag
,,,冻存管（5ml）,,,beyotime,75,https://m.beyotime.com/mobilegoods.do?method=code&code=FCV056-1bag
,,,离心管（15ml）,,,beyotime,196,https://m.beyotime.com/mobilegoods.do?method=code&code=C0025-200ml
,,,离心管（50ml）,,,beyotime,19,https://m.beyotime.com/mobilegoods.do?method=code&code=FSA011-2pcs
,,,标本采集瓶（广口，100ml）,,,,,
,,,标本采集瓶（广口，50ml）,,,,,
,,,封口膜,,,beyotime,72,https://m.beyotime.com/mobilegoods.do?method=code&code=FSF112-1box
,,,标签纸/记号笔/铅笔,,,,,
,,,防水记录纸,,,,,
,,,保温箱（30L）,,,,,
,,,车载冷藏箱（50L）,,,,,
,,,冰袋,,,beyotime,3.2,https://m.beyotime.com/mobilegoods.do?method=code&code=JX04748067
,,,干冰,,,beyotime,950,https://m.beyotime.com/mobilegoods.do?method=code&code=C6001
,,,RNA保存液（RNAlater）,,,beyotime,0,https://m.beyotime.com/mobilegoods.do?method=code&code=R0116FT
,,,75%酒精,,,beyotime,68,https://m.beyotime.com/mobilegoods.do?method=code&code=FCA001-1set
,,,无水乙醇,,,beyotime,59,https://m.beyotime.com/mobilegoods.do?method=code&code=Y263010-50mg
,,,乙酸乙酯,,,beyotime,47,https://m.beyotime.com/mobilegoods.do?method=code&code=Y063452-5g
,,,试管架（各种规格）,,,,,
,,,培养皿（塑料，ø90mm）,,,,,
,,,移液枪（100μL/1000μL）,,,beyotime,399,https://m.beyotime.com/mobilegoods.do?method=code&code=C0307S
,,,移液枪头,,,beyotime,150,https://m.beyotime.com/mobilegoods.do?method=code&code=A0323-0.2ml
,,,自封袋（各种规格）,,,,,
,,,剪刀/镊子/止血钳（基础）,,,,,
