brand,catNo,spec,rawName,quantity,limitPrice,recommendedSite,recommendedPrice,url
,,,数字显微镜（便携式）,6,,,,
,,,对讲机,6,,,,
,,,头灯/强光手电,8,,,,
,,,电子秤（便携）,3,,,,
,,,游标卡尺,3,,beyotime,36,https://m.beyotime.com/mobilegoods.do?method=code&code=EVC001
,,,卷尺,5,,,,
,,,标本制作工具套装,3,,,,
,,,昆虫标本盒（各种尺寸）,200,,,,
,,,昆虫针（00~5号全套）,30,,,,
,,,户外防护服,6,,,,
,,,一次性防护服,80,,,,
,,,一次性乳胶手套,80,,beyotime,542,https://m.beyotime.com/mobilegoods.do?method=code&code=JX01786272
,,,防咬钢丝手套,8,,,,
,,,护目镜,10,,beyotime,48,https://m.beyotime.com/mobilegoods.do?method=code&code=FCV011-1bag
,,,N95口罩,200,,,,
,,,雨靴,6,,,,
,,,遮阳帽,6,,,,
,,,驱蚊液（DEET）,50,,,,
,,,冻存管（2ml）,3000,,beyotime,56,https://m.beyotime.com/mobilegoods.do?method=code&code=FCV021-1bag
,,,冻存管（5ml）,1000,,beyotime,75,https://m.beyotime.com/mobilegoods.do?method=code&code=FCV056-1bag
,,,离心管（15ml）,1000,,beyotime,196,https://m.beyotime.com/mobilegoods.do?method=code&code=C0025-200ml
,,,离心管（50ml）,500,,beyotime,19,https://m.beyotime.com/mobilegoods.do?method=code&code=FSA011-2pcs
,,,标本采集瓶（广口，100ml）,500,,,,
,,,标本采集瓶（广口，50ml）,500,,,,
,,,封口膜,30,,beyotime,72,https://m.beyotime.com/mobilegoods.do?method=code&code=FSF112-1box
,,,标签纸/记号笔/铅笔,1,,,,
,,,防水记录纸,50,,,,
,,,保温箱（30L）,6,,,,
,,,车载冷藏箱（50L）,2,,,,
,,,冰袋,40,,beyotime,3.2,https://m.beyotime.com/mobilegoods.do?method=code&code=JX04748067
,,,干冰,8,,beyotime,950,https://m.beyotime.com/mobilegoods.do?method=code&code=C6001
,,,RNA保存液（RNAlater）,120,,beyotime,0,https://m.beyotime.com/mobilegoods.do?method=code&code=R0116FT
,,,75%酒精,80,,beyotime,68,https://m.beyotime.com/mobilegoods.do?method=code&code=FCA001-1set
,,,无水乙醇,40,,beyotime,59,https://m.beyotime.com/mobilegoods.do?method=code&code=Y263010-50mg
,,,乙酸乙酯,30,,beyotime,47,https://m.beyotime.com/mobilegoods.do?method=code&code=Y063452-5g
,,,试管架（各种规格）,15,,,,
,,,培养皿（塑料，?90mm）,500,,,,
,,,移液枪（100μL/1000μL）,2,,beyotime,399,https://m.beyotime.com/mobilegoods.do?method=code&code=C0307S
,,,移液枪头,15,,beyotime,150,https://m.beyotime.com/mobilegoods.do?method=code&code=A0323-0.2ml
,,,自封袋（各种规格）,1000,,,,
,,,剪刀/镊子/止血钳（基础）,5,,,,
,,,捕鼠笼（中号钢制）,120,,,,
,,,捕鼠夹,80,,,,
,,,鼠饵（花生酱、油条等）,8,,,,
,,,解剖器械套件,5,,,,
,,,鼠类运输笼,10,,,,
,,,标签扎带,1000,,,,
,,,乙醚（麻醉用）,20,,,,
